Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints
eef90569b9d03c,684d5656442f9e,aeb375fc57110c,0,0,91.47,0,0,0,57,0,0,0,0,1777,squad-fpp,26,25,1484,0,0.0045,0,11.04,0,0,1434,5,0
731c1f5ca550f3,557ca8543fb0dd,aeb375fc57110c,0,1,149.1,1,1,0,33,0,1,1,6.967,1777,squad-fpp,26,25,1501,0,0,0,0,0,0,574.5,6,0
bc582884e811c9,b9e8b77c01059b,aeb375fc57110c,0,2,514.6,5,2,0,2,0,5,2,116,1777,squad-fpp,26,25,1488,2,0,0,0,0,0,2618,6,0
0158597c8ff166,4c526bf789bcf4,aeb375fc57110c,0,0,42.32,1,0,0,37,0,1,1,15.02,1777,squad-fpp,26,25,1477,0,0,0,0,0,0,699.3,2,0
96fe29ae2e5099,766390c7622843,aeb375fc57110c,0,0,22.95,0,0,0,84,0,0,0,0,1777,squad-fpp,26,25,1349,0,0,0,0,0,0,188.2,3,0
48c12b2733ebf1,44961cf90f1aba,aeb375fc57110c,0,1,0,0,0,0,50,0,0,0,0,1777,squad-fpp,26,25,1500,0,4682,0,0,0,0,2458,2,0
8d71c13e15cd00,766390c7622843,aeb375fc57110c,0,0,161.4,1,1,2,43,0,1,1,6.183,1777,squad-fpp,26,25,1415,0,0,0,0,0,0,143,2,0
c0e7289968b0d4,b88c63770f6f54,aeb375fc57110c,0,0,94.8,0,0,0,72,0,0,0,0,1777,squad-fpp,26,25,1463,0,904.7,0,0,0,0,540.8,3,0
2030a4f4d15872,4c526bf789bcf4,aeb375fc57110c,0,1,287.7,2,1,0,36,0,1,1,20.67,1777,squad-fpp,26,25,1491,0,0,0,0,0,0,800.4,4,0
9d7c54f5e4313a,645894055adb04,aeb375fc57110c,5,4,453.5,4,1,3,5,0,3,1,220.1,1777,squad-fpp,26,25,1404,0,0,0,0,0,0,3604,4,0
22ca0305243fc1,885d2a5349434e,aeb375fc57110c,0,3,220.4,1,0,1,13,0,2,1,62.39,1777,squad-fpp,26,25,1359,0,0,0,0,0,0,4457,4,0
fd7c8f9808985b,557ca8543fb0dd,aeb375fc57110c,0,1,187.5,0,0,4,65,0,0,0,0,1777,squad-fpp,26,25,1462,0,0,0,0,0,0,1168,6,0
aa0fc5df216655,ccda15e6fc5e55,aeb375fc57110c,0,0,0,0,0,0,87,0,0,0,0,1777,squad-fpp,26,25,1495,0,0,0,0,0,0,52.51,1,0
1316ae9c4fadad,885d2a5349434e,aeb375fc57110c,1,1,180.6,1,0,1,14,0,2,1,167.5,1777,squad-fpp,26,25,1265,0,0,0,0,0,0,4338,11,0
d3bae2c79d7bdc,766390c7622843,aeb375fc57110c,0,0,159.5,1,1,0,44,0,1,1,4.401,1777,squad-fpp,26,25,1419,0,0,0,0,0,0,141,2,0
350575692262b1,557ca8543fb0dd,aeb375fc57110c,0,1,0,0,0,0,66,0,0,0,0,1777,squad-fpp,26,25,1531,0,0,0,0,0,0,1867,4,0
72faf4463c225d,86166f9f9d46d2,aeb375fc57110c,0,1,183.5,1,1,1,34,0,1,1,6.97,1777,squad-fpp,26,25,1539,0,0,0,0,0,0,525,2,0
039800ee0b8142,b8bd1c0b8946d0,aeb375fc57110c,0,0,24.68,0,0,0,58,0,0,0,0,1777,squad-fpp,26,25,1435,0,0,0,0,0,0,1785,6,0
6281fb0349c536,469319b7ce014b,aeb375fc57110c,0,0,100,0,1,0,16,0,2,2,9.057,1777,squad-fpp,26,25,1515,0,0,0,0,0,0,38.05,2,0
3a1442024a919d,766390c7622843,aeb375fc57110c,0,0,108,0,0,0,81,0,0,0,0,1777,squad-fpp,26,25,1433,0,0,0,0,0,0,152.3,3,0
f491bafbb64c86,766390c7622843,aeb375fc57110c,0,0,60.46,0,0,0,85,0,0,0,0,1777,squad-fpp,26,25,1468,0,0,0,0,0,0,13.72,1,0
cee90a0614bdb1,4d8632508c9bf8,aeb375fc57110c,0,5,47.23,1,0,0,26,0,1,1,23.39,1777,squad-fpp,26,25,1494,0,0,0,0,0,0,4089,3,0
8934ebc2eb903a,ccda15e6fc5e55,aeb375fc57110c,0,0,149,1,0,0,45,0,1,1,7.327,1777,squad-fpp,26,25,1495,0,0,0,0,0,0,131,2,0
0ea228c2a4faa2,4a6cfb558d50db,aeb375fc57110c,0,2,64.51,0,0,1,54,0,0,0,0,1777,squad-fpp,26,25,1437,0,602.1,0,0,0,0,3403,6,0
3dcf4259b62f66,684d5656442f9e,aeb375fc57110c,2,1,300.8,0,0,6,18,0,2,1,77.97,1777,squad-fpp,26,25,1476,0,5418,0,0,0,0,1847,5,0
06920d3f9bfc88,766390c7622843,aeb375fc57110c,0,0,91.99,0,0,0,83,0,0,0,0,1777,squad-fpp,26,25,1483,0,0,0,0,0,0,65.08,2,0
7589442ec59821,557ca8543fb0dd,aeb375fc57110c,1,2,320.3,2,1,7,7,0,3,1,50.4,1777,squad-fpp,26,25,1430,0,995.9,0,0,0,0,1225,5,0
1e970bf83f5913,fc7ab9278edd5f,aeb375fc57110c,1,6,316.5,1,1,3,10,0,2,2,95.64,1777,squad-fpp,26,25,1535,1,4181,0,0,0,0,1896,7,0
2c99dfff60516e,469319b7ce014b,aeb375fc57110c,0,0,0,0,0,0,53,0,0,0,0,1777,squad-fpp,26,25,1434,1,4899,0,0,0,0,2390,3,0
4a03bdacf1d36d,4a6cfb558d50db,aeb375fc57110c,0,3,491.8,3,1,1,3,0,5,2,21.71,1777,squad-fpp,26,25,1422,0,621.3,0,0,0,0,3179,6,0
7879c1058ccd11,77cc575deea166,aeb375fc57110c,0,0,0,0,0,0,64,0,0,0,0,1777,squad-fpp,26,25,1486,0,158,0,0,0,0,1412,6,0
785043b271d3b7,469319b7ce014b,aeb375fc57110c,0,2,145.9,1,0,3,28,0,1,1,27.09,1777,squad-fpp,26,25,1501,0,1918,0,0,1,0,2486,6,0
ea6e00629df506,2392d7ac1df8ad,aeb375fc57110c,0,0,0,0,0,0,67,0,0,0,0,1777,squad-fpp,26,25,1478,0,0,0,0,0,0,910.1,6,0
2c487bc0d0e0d5,5712b3a17cd575,aeb375fc57110c,0,0,33.48,0,0,0,91,0,0,0,0,1777,squad-fpp,26,25,1491,0,0,0,0,0,0,0,0,0
6d55039e5d72c4,0e009e443d9c0d,aeb375fc57110c,2,3,283.1,3,1,7,4,0,4,2,344.3,1777,squad-fpp,26,25,1430,2,575.1,0,30.12,0,0,5386,5,0
1c3acbb63a110d,fc7ab9278edd5f,aeb375fc57110c,3,7,414.6,1,0,11,22,0,1,1,70.63,1777,squad-fpp,26,25,1539,0,5905,0,0,0,0,2128,8,0
5406618d55edc0,684d5656442f9e,aeb375fc57110c,0,2,0,0,0,2,56,0,0,0,0,1777,squad-fpp,26,25,1480,0,3676,0,0,0,0,1855,8,0
924dd554d1a738,469319b7ce014b,aeb375fc57110c,1,5,212.3,0,0,5,15,0,2,1,14.23,1777,squad-fpp,26,25,1500,0,1945,0,0,0,0,2927,5,0
c3feef84e4bb08,fc7ab9278edd5f,aeb375fc57110c,0,4,99.29,1,0,10,9,0,2,1,134.3,1777,squad-fpp,26,25,1535,2,3803,0,0,0,0,2438,5,0
35d5ab189a8df7,b36d4018a110ab,aeb375fc57110c,0,2,200,2,2,2,19,0,2,1,22.96,1777,squad-fpp,26,25,1463,0,0,0,0,0,0,390.3,3,0
fb37a556eb6a3d,684d5656442f9e,aeb375fc57110c,0,3,179,2,0,5,17,0,2,2,5.679,1777,squad-fpp,26,25,1491,0,3694,0,0,0,0,2435,6,0
199254679fe294,2392d7ac1df8ad,aeb375fc57110c,0,1,25.8,0,0,1,68,0,0,0,0,1777,squad-fpp,26,25,1478,0,0,0,0,0,0,754.6,2,0
85b4e7783f20e1,44961cf90f1aba,aeb375fc57110c,0,2,54.34,0,0,1,49,0,0,0,0,1777,squad-fpp,26,25,1500,0,5013,0,0,0,0,2329,7,0
b6744d89903fa7,6c8bf4790efcf0,aeb375fc57110c,0,1,126.7,1,1,1,41,0,1,1,1.879,1777,squad-fpp,26,25,1480,0,0,0,0,0,0,185.9,5,0
6a7b5b13fb71f1,0e009e443d9c0d,aeb375fc57110c,1,1,101.5,0,0,3,24,0,1,1,7.372,1777,squad-fpp,26,25,1380,0,0.0266,0,33.01,0,0,5956,3,0
5a60761adc1cbf,0e009e443d9c0d,aeb375fc57110c,1,1,394.7,1,0,2,23,0,1,1,10.01,1777,squad-fpp,26,25,1375,1,0.0047,0,7.253,0,0,5364,7,0
10a218f088b3a0,44961cf90f1aba,aeb375fc57110c,0,3,87.77,1,0,2,48,0,0,0,0,1777,squad-fpp,26,25,1510,0,5510,0,0,0,0,2499,7,0
2.06123E+13,0e009e443d9c0d,aeb375fc57110c,2,1,230,1,0,2,11,0,2,1,291.4,1777,squad-fpp,26,25,1409,0,0.005,0,9.252,0,0,5623,4,0
f74ace2471ce3a,4a6cfb558d50db,aeb375fc57110c,1,0,199.6,1,1,0,29,0,1,1,13,1777,squad-fpp,26,25,1422,0,0,0,0,0,0,2581,3,0
7a6dd81b106e6f,557ca8543fb0dd,aeb375fc57110c,1,1,305.5,2,2,0,6,0,3,2,102.8,1777,squad-fpp,26,25,1500,0,1029,0,0,0,0,919.9,3,0
1bc883e4c77906,766390c7622843,aeb375fc57110c,0,0,23.8,0,0,0,80,0,0,0,0,1777,squad-fpp,26,25,1413,0,0,0,0,0,0,65.36,2,0
8a16510590f506,645894055adb04,aeb375fc57110c,2,5,288,2,1,3,12,0,2,2,8.243,1777,squad-fpp,26,25,1411,0,0,0,0,0,0,3540,10,0
f97ff7c60ef9cd,92c7b5e8f9ee5e,aeb375fc57110c,0,0,0,0,0,0,61,0,0,0,0,1777,squad-fpp,26,25,1521,0,0,0,0,0,0,1638,5,0
c5533417fab425,6c8bf4790efcf0,aeb375fc57110c,0,0,189.9,4,1,0,21,0,2,2,13.3,1777,squad-fpp,26,25,1480,1,0,0,0,0,0,464.2,2,0
8fa9363a9d02b8,6c8bf4790efcf0,aeb375fc57110c,0,0,0,0,0,0,77,0,0,0,0,1777,squad-fpp,26,25,1475,2,0,0,0,0,0,253.2,1,0
190ac8ef5c41ae,92c7b5e8f9ee5e,aeb375fc57110c,1,1,212.1,2,0,1,60,0,0,0,0,1777,squad-fpp,26,25,1521,0,0,0,0,0,0,2172,6,0
7b90641570125a,6c8bf4790efcf0,aeb375fc57110c,0,0,60.2,0,0,0,78,0,0,0,0,1777,squad-fpp,26,25,1542,0,0,0,0,0,0,199.5,1,0
b495e9aa88d3fb,4c526bf789bcf4,aeb375fc57110c,0,2,0,0,0,1,71,0,0,0,0,1777,squad-fpp,26,25,1376,0,0,0,0,0,0,576.6,5,0
5d9cf9e7836dfb,b36d4018a110ab,aeb375fc57110c,1,0,25.2,0,0,1,75,0,0,0,0,1777,squad-fpp,26,25,1404,0,0,0,0,0,0,536.5,3,0
285c32537e6c80,4d8632508c9bf8,aeb375fc57110c,1,3,42.38,0,0,0,51,0,0,0,0,1777,squad-fpp,26,25,1531,0,0,0,0,0,0,3191,5,0
754c29315d6bcd,77cc575deea166,aeb375fc57110c,0,1,198,2,0,1,31,0,1,1,5.976,1777,squad-fpp,26,25,1496,0,651.5,0,0,0,0,1250,4,0
11d682c665cfce,ccda15e6fc5e55,aeb375fc57110c,0,0,0,0,0,0,86,0,0,0,0,1777,squad-fpp,26,25,1451,0,0,0,0,0,0,27.9,1,0
98d86e22ab0f42,5712b3a17cd575,aeb375fc57110c,1,0,200,2,0,0,46,0,1,1,32.41,1777,squad-fpp,26,25,1345,0,0,0,0,0,0,38.51,2,0
4ffb1e29a99f7d,4c526bf789bcf4,aeb375fc57110c,0,1,95.1,0,0,3,70,0,0,0,0,1777,squad-fpp,26,25,1513,0,0,0,0,0,0,549.5,4,0
287c74e5b1a7c9,ccda15e6fc5e55,aeb375fc57110c,0,0,0,0,0,0,89,0,0,0,0,1777,squad-fpp,26,25,1469,0,0,0,0,0,0,111.9,2,0
dfca0949834b46,2392d7ac1df8ad,aeb375fc57110c,0,0,100,1,0,0,35,0,1,1,14.47,1777,squad-fpp,26,25,1478,0,0,0,0,0,0,831.8,5,0
4346a1854ca605,b36d4018a110ab,aeb375fc57110c,0,0,135.3,0,1,0,39,0,1,1,3.615,1777,squad-fpp,26,25,1431,0,0,0,0,0,0,469.9,3,0
090121135aac0f,5712b3a17cd575,aeb375fc57110c,0,0,0,0,0,0,90,0,0,0,0,1777,squad-fpp,26,25,1500,0,0,0,0,0,0,3.843,0,0
7635a2f82a64da,766390c7622843,aeb375fc57110c,0,0,60.77,0,0,0,82,0,0,0,0,1777,squad-fpp,26,25,1500,0,0,0,0,0,0,100.7,2,0
452274d0857046,557ca8543fb0dd,aeb375fc57110c,0,0,23.22,0,0,0,32,0,1,1,11.24,1777,squad-fpp,26,25,1500,0,3611,0,0,0,0,1139,4,0
bd5581d7a2dbcc,645894055adb04,aeb375fc57110c,1,4,288.2,1,0,1,47,0,0,0,0,1777,squad-fpp,26,25,1419,0,0,0,0,0,0,3179,7,0
6a79b96b7a1d64,766390c7622843,aeb375fc57110c,0,0,0,0,0,0,79,0,0,0,0,1777,squad-fpp,26,25,1364,0,1505,0,0,0,0,48.2,1,0
b775652cba49bc,b88c63770f6f54,aeb375fc57110c,0,0,140.1,0,0,0,73,0,0,0,0,1777,squad-fpp,26,25,1463,0,214.7,0,0,0,0,324.2,3,0
8e9eb29babde59,7e9e54c04c5698,aeb375fc57110c,0,0,0,0,0,0,76,0,0,0,0,1777,squad-fpp,26,25,1441,0,0,0,0,0,0,278.4,3,0
94259d19e43ae0,4c526bf789bcf4,aeb375fc57110c,0,0,0,0,0,0,69,0,0,0,0,1777,squad-fpp,26,25,1491,0,0,0,0,0,0,719.9,7,0
0d0b1411b18ee9,885d2a5349434e,aeb375fc57110c,1,2,238.3,1,0,0,27,0,1,1,125,1777,squad-fpp,26,25,1512,0,1510,0,0,0,0,3558,6,0
8af95213114dc8,645894055adb04,aeb375fc57110c,1,3,723,9,1,9,1,0,7,2,190.6,1777,squad-fpp,26,25,1467,1,0,0,0,0,1,3190,9,0
f0db679f85a722,4a6cfb558d50db,aeb375fc57110c,1,0,0,0,0,0,55,0,0,0,0,1777,squad-fpp,26,25,1428,1,602.6,0,0,0,0,3249,7,0
bfa1d929815f82,b8bd1c0b8946d0,aeb375fc57110c,1,1,121.6,1,0,1,59,0,0,0,0,1777,squad-fpp,26,25,1455,0,0,0,0,0,0,1759,2,0
83eda5ca37322c,b8bd1c0b8946d0,aeb375fc57110c,0,0,143.6,1,0,0,30,0,1,1,24.88,1777,squad-fpp,26,25,1435,2,0,0,0,0,0,2133,2,0
3.81349E+13,b36d4018a110ab,aeb375fc57110c,0,1,46.49,1,0,1,38,0,1,1,2.683,1777,squad-fpp,26,25,1419,0,0,0,0,0,0,338,3,0
b5816e270b634d,766390c7622843,aeb375fc57110c,0,0,100,1,0,1,42,0,1,1,4.624,1777,squad-fpp,26,25,1294,0,0,0,0,0,0,96.84,2,0
1d550e6069dfd6,406abb5bce236b,aeb375fc57110c,0,1,0,0,0,2,62,0,0,0,0,1777,squad-fpp,26,25,1476,0,413.9,0,0,0,0,2309,3,0
3f5d03afec89de,885d2a5349434e,aeb375fc57110c,0,0,100,1,0,0,52,0,0,0,0,1777,squad-fpp,26,25,1488,0,492.3,0,0,0,0,2803,5,0
642092c6a8846b,b88c63770f6f54,aeb375fc57110c,0,1,36.5,0,0,1,74,0,0,0,0,1777,squad-fpp,26,25,1483,0,0,0,0,0,0,273.1,4,0
88fc8c84ad2851,fc7ab9278edd5f,aeb375fc57110c,2,5,244,2,1,9,8,0,2,1,111.2,1777,squad-fpp,26,25,1537,0,3655,0,0,0,0,2184,5,0
4c2bf6c6f5fbdf,77cc575deea166,aeb375fc57110c,0,0,0,0,0,0,63,0,0,0,0,1777,squad-fpp,26,25,1489,0,957.3,0,0,0,0,633.5,4,0
32e40d4a3fda0f,ccda15e6fc5e55,aeb375fc57110c,0,0,0,0,0,0,88,0,0,0,0,1777,squad-fpp,26,25,1491,0,0,0,0,0,0,1.486,1,0
0a817d17a9cf1f,6c8bf4790efcf0,aeb375fc57110c,0,0,100,1,1,1,40,0,1,1,3.519,1777,squad-fpp,26,25,1492,0,0,0,0,0,0,261,2,0
f033734b70a795,4d8632508c9bf8,aeb375fc57110c,0,2,87.29,0,0,2,25,0,1,1,70.77,1777,squad-fpp,26,25,1516,0,0,0,0,0,0,3666,5,0
66bdb08dbe2139,6c8bf4790efcf0,aeb375fc57110c,0,1,214.8,4,2,1,20,0,2,1,16.8,1777,squad-fpp,26,25,1549,1,0,0,0,0,0,504.8,3,0